Total Events,Total Deaths,Total Affected,"Total Damage (USD, original)",Cluster
-0.6385648418464714,-0.0886637595474088,-0.1918018430473174,-0.318138168603109,0
0.1496636348077666,0.3482812498323266,1.853688305919451,4.599056124283574,0
-0.2444506035193524,-0.0308305642968691,-0.1682876664290551,-0.2528092748868569,0
-0.6385648418464714,-0.0886637595474088,-0.1848527909888352,-0.2432489489771614,0
0.5437778731348857,-0.0492458712055936,0.2478582463853902,-0.2126559060661361,0
-0.6385648418464714,-0.0889681447855696,-0.1835659294965236,-0.2432489489771614,0
0.1496636348077666,-0.0889681447855696,-0.1820204088442575,-0.2972647903669406,0
0.1496636348077666,-0.0780863725213233,-0.1846513971652884,-0.2799876880604694,0
0.5437778731348857,-0.0848589440703996,0.20667224432396,0.7749257604054018,0
-0.2444506035193524,-0.0886637595474088,-0.1713973672252259,-0.2432489489771614,0
-0.6385648418464714,-0.0864569665707435,-0.1844950434939726,-0.2432489489771614,0
-0.6385648418464714,-0.0917837082385563,-0.1912870984503928,-0.2432489489771614,0
1.3320063497891237,-0.0646934220422509,0.1664546055354943,1.206733813993312,0
-0.2444506035193524,-0.0888159521664892,-0.189363240519387,-0.2432489489771614,0
-0.2444506035193524,-0.0914793230003956,-0.1850445333511896,-0.2432489489771614,0
-0.6385648418464714,-0.0886637595474088,-0.1915444707488551,-0.2432489489771614,0
-0.2444506035193524,-0.0910227451431545,-0.1652191452006383,-0.2432489489771614,0
2.9084633030976,-0.0846306551417791,0.0877565909731833,-0.3376842549254813,0
-0.6385648418464714,-0.0904900709763732,-0.1835659294965236,-0.2432489489771614,0
0.9378921114620048,0.0091199982117273,1.642103826215083,3.454095559461933,0
0.5437778731348857,-0.0873701222852257,-0.1757135006704387,-0.2432489489771614,0
-0.6385648418464714,-0.0872179296661453,-0.1909010400026993,-0.2432489489771614,0
-0.2444506035193524,-0.0898813005000518,-0.1919273120428178,-0.2432489489771614,0
-0.6385648418464714,-0.090794456214534,-0.188970747764232,-0.2432489489771614,0
-0.6385648418464714,-0.0517570494204197,-0.1842968668241566,-0.2432489489771614,0
-0.2444506035193524,-0.0675089854952377,-0.0940003696316419,-0.2432489489771614,0
0.1496636348077666,-0.0679655633524788,-0.1835768678192083,-0.2161613588996911,0
0.5437778731348857,-0.0849350403799398,-0.1638724446489343,-0.2432489489771614,0
-0.6385648418464714,-0.0910988414526947,-0.1919189474431177,-0.2432489489771614,0
-0.6385648418464714,-0.0913271303813152,-0.1835659294965236,-0.3311242779637786,0
-0.6385648418464714,-0.0920119971671769,-0.1918694032756637,-0.2432489489771614,0
-0.2444506035193524,-0.0918598045480965,-0.1865430835589863,-0.2432489489771614,0
-0.6385648418464714,-0.0886637595474088,-0.1912484926056234,-0.2432489489771614,0
0.9378921114620048,-0.0873701222852257,-0.1798314574458356,-0.2432489489771614,0
-0.2444506035193524,-0.0880549890710873,-0.1919279554735639,-0.2432489489771614,0
-0.2444506035193524,-0.0910988414526947,-0.186789517534764,-0.2432489489771614,0
0.1496636348077666,-0.0911749377622349,-0.1880924647957294,-0.2432489489771614,0
0.5437778731348857,-0.0898813005000518,-0.1743294811354577,-0.2432489489771614,0
-0.2444506035193524,-0.0896530115714312,-0.191792191586125,-0.2432489489771614,0
-0.6385648418464714,-0.0908705525240741,-0.1854576158902216,-0.3388522080741157,0
-0.6385648418464714,-0.0917076119290162,-0.1916152481309322,-0.2432489489771614,0
0.1496636348077666,-0.0882832779997079,-0.1538471501930814,-0.133305201015664,0
-0.6385648418464714,-0.0886637595474088,-0.1728032634055762,-0.2432489489771614,0
2.9084633030976,-0.0853155219276407,0.1885146286674445,4.449277685031679,0
-0.2444506035193524,-0.0895008189523508,-0.1919285989043101,-0.2432489489771614,0
-0.2444506035193524,-0.0891203374046499,-0.1178330444692512,-0.0440754925251733,0
1.3320063497891237,-0.0862286776421229,0.0803867352067152,1.1382181449738282,0
-0.2444506035193524,-0.0824238621651137,-0.1894211492865411,-0.2432489489771614,0
-0.6385648418464714,-0.0912510340717751,-0.1835659294965236,-0.2432489489771614,0
-0.6385648418464714,-0.0906422635954536,0.0716598839966046,1.2529420558901734,0
-0.6385648418464714,-0.0886637595474088,-0.1840504328483789,-0.2432489489771614,0
-0.6385648418464714,-0.0920119971671769,-0.1866164346640481,-0.2432489489771614,0
-0.6385648418464714,-0.0886637595474088,-0.1753621874830377,-0.2432489489771614,0
0.5437778731348857,-0.0914793230003956,-0.1705042853495617,0.0340005024040059,0
-0.2444506035193524,-0.089576915261891,-0.1918629689682022,-0.2432489489771614,0
-0.6385648418464714,-0.0911749377622349,-0.19189514050551,-0.2432489489771614,0
0.1496636348077666,-0.0840979809749978,-0.1336357035948367,-0.1811068305641411,0
2.120234826443362,-0.0860764850230426,0.0322021369193488,-0.1683597293512139,0
-0.2444506035193524,-0.0913271303813152,-0.1638325519426726,-0.2432489489771614,0
-0.2444506035193524,-0.0862286776421229,-0.1835659294965236,-0.300610904435334,0
